Observation id,Observation date,Description,Media file,Total length,FPS,number of ants,brood or not,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,go,sting,,,STATE,318.166,351.908,33.742,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,gb,meet,,,POINT,328.377,328.377,NA,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,bo,meet,,,POINT,332.366,332.366,NA,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,gb,meet,,,POINT,334.658,334.658,NA,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,oo,meet,,,POINT,343.655,343.655,NA,,
qi_cam34_exp3_a2_8n,2023-08-31 13:47:05,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,n,gb,meet,,,POINT,345.154,345.154,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,pg,meet,,,POINT,345.660,345.660,NA,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,go,meet,,,POINT,346.847,346.847,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,pg,sting,,,STATE,347.153,370.405,23.252,,
qi_cam34_exp3_a2_8n,2023-08-31 13:47:05,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,n,oo,meet,,,POINT,348.901,348.901,NA,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,gb,meet,,,POINT,354.907,354.907,NA,,
qi_cam34_exp3_a2_4n,2023-08-31 13:45:30,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,n,go,meet,,,POINT,356.651,356.651,NA,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,bo,meet,,,POINT,357.817,357.817,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,go,meet,,,POINT,361.660,361.660,NA,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,bo,meet,,,POINT,364.627,364.627,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,bb,meet,,,POINT,364.666,364.666,NA,,
qi_cam34_exp3_a2_4n,2023-08-31 13:45:30,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,n,go,sting,,,STATE,365.651,368.654,3.003,,
qi_cam34_exp3_a2_8n,2023-08-31 13:47:05,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,n,gb,sting,,,STATE,370.659,454.656,83.997,,
qi_cam34_exp3_a2_8n,2023-08-31 13:47:05,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,n,pb,meet,,,POINT,373.654,373.654,NA,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,pb,meet,,,POINT,374.879,374.879,NA,,
qi_cam34_exp3_a2_8n,2023-08-31 13:47:05,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,n,go,meet,,,POINT,375.403,375.403,NA,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,oo,meet,,,POINT,378.657,378.657,NA,,
qi_cam34_exp3_a2_4n,2023-08-31 13:45:30,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,n,go,meet,,,POINT,384.654,384.654,NA,,
qi_cam34_exp3_a2_4n,2023-08-31 13:45:30,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,n,go,sting,,,STATE,387.651,432.654,45.003,,
qi_cam34_exp3_a2_8n,2023-08-31 13:47:05,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,n,go,meet,,,POINT,390.901,390.901,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,bb,meet,,,POINT,391.414,391.414,NA,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,pg,meet,,,POINT,391.887,391.887,NA,,
qi_cam34_exp3_a2_8n,2023-08-31 13:47:05,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,n,pg,meet,,,POINT,392.401,392.401,NA,,
qi_cam34_exp3_a2_8wl,2023-08-31 13:47:28,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wl,bb,sting,,,STATE,393.660,398.155,4.495,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,pg,sting,,,STATE,395.634,396.394,0.760,,
qi_cam34_exp3_a2_8n,2023-08-31 13:47:05,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,n,pb,meet,,,POINT,396.154,396.154,NA,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,go,meet,,,POINT,402.874,402.874,NA,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,pp,meet,,,POINT,408.654,408.654,NA,,
qi_cam34_exp3_a2_4wp,2023-08-31 13:46:48,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,4,wp,bo,meet,,,POINT,410.824,410.824,NA,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,pp,sting,,,STATE,410.906,418.408,7.502,,
qi_cam34_exp3_a2_8wp,2023-08-31 13:47:49,,D:/desktop/Qi_DenfenseBeh/BorisData/exp3_a2a3/qicam34exp3after2t202301071508_20230107_150743.mp4,1454.440,25.0,8,wp,bb,meet,,,POINT,415.868,415.868,NA,,
